Categoria: Todas as categorias

Mês,vacina faz mal: (Brasil),efeitos colaterais vacina covid: (Brasil),vacina mata: (Brasil),vacina causa autismo: (Brasil)
2020-01,6,0,3,0
2020-02,8,0,7,0
2020-03,13,0,20,0
2020-04,10,2,14,2
2020-05,9,2,12,1
2020-06,10,1,7,1
2020-07,10,3,8,0
2020-08,8,2,9,2
2020-09,8,5,12,2
2020-10,9,4,11,2
2020-11,7,2,15,2
2020-12,12,36,20,1
2021-01,17,43,47,0
2021-02,13,28,15,2
2021-03,18,38,27,0
2021-04,30,55,21,2
2021-05,43,82,32,2
2021-06,68,100,40,1
2021-07,68,74,30,0
2021-08,72,54,40,2
2021-09,45,24,33,3
2021-10,31,17,17,2
2021-11,31,16,18,2
2021-12,31,22,22,0
2022-01,66,64,92,0
2022-02,33,27,21,1
2022-03,20,17,12,3
2022-04,18,11,9,3
2022-05,17,13,9,2
2022-06,26,22,11,1
2022-07,23,18,9,1
2022-08,15,15,8,2
2022-09,14,10,8,3
2022-10,8,9,7,1
2022-11,14,17,7,0
2022-12,9,13,7,0
2023-01,11,13,7,1
2023-02,11,15,7,0
2023-03,17,30,14,2
2023-04,17,17,12,2
2023-05,19,18,10,2
2023-06,14,12,8,1
2023-07,9,7,8,1
2023-08,7,6,6,0
2023-09,8,5,8,2
2023-10,6,6,5,0
2023-11,7,12,10,0
2023-12,7,9,14,0
2024-01,9,14,26,0
2024-02,8,9,14,1
2024-03,8,6,10,0
2024-04,10,7,9,0
2024-05,11,13,9,1
2024-06,11,11,7,3
2024-07,8,5,7,0
2024-08,8,6,5,2
2024-09,7,4,9,0
2024-10,6,4,7,3
2024-11,8,5,7,0
2024-12,8,5,7,0
2025-01,11,7,12,0
2025-02,8,10,9,2
2025-03,9,7,9,2
2025-04,13,9,9,0
2025-05,17,7,12,1
2025-06,13,5,10,2
2025-07,10,5,8,2
2025-08,8,4,7,0
2025-09,11,4,9,2
2025-10,9,5,8,1
